time,arm,reward,cost,performance,estimates,counts
1,0,954.4483296701187,-1,955.4483296701187,"[954.4483296701187, 0]","[1, 0]"
2,1,614.3046379849256,-1,615.3046379849256,"[954.4483296701187, 614.3046379849256]","[1, 1]"
3,0,1478.9852452700488,-1,1479.9852452700488,"[1216.7167874700838, 614.3046379849256]","[2, 1]"
4,0,1165.972169269725,-1,1166.972169269725,"[1199.801914736631, 614.3046379849256]","[3, 1]"
5,0,1666.8064743146722,-1,1667.8064743146722,"[1316.5530546311413, 614.3046379849256]","[4, 1]"
6,0,492.91158282535883,-1,493.91158282535883,"[1151.8247602699848, 614.3046379849256]","[5, 1]"
7,1,955.061655215398,-1,956.061655215398,"[1151.8247602699848, 784.6831466001618]","[5, 2]"
8,1,750.1734129483659,-1,751.1734129483659,"[1151.8247602699848, 773.1799020495632]","[5, 3]"
9,0,2373.8494289578553,-1,2374.8494289578553,"[1355.49553838463, 773.1799020495632]","[6, 3]"
10,0,616.2725560925061,-1,617.2725560925061,"[1249.892255200041, 773.1799020495632]","[7, 3]"
11,0,1442.9319476494975,-1,1443.9319476494975,"[1274.0222167562233, 773.1799020495632]","[8, 3]"
12,0,1508.1380540672353,-1,1509.1380540672353,"[1300.0350875685579, 773.1799020495632]","[9, 3]"
13,0,2183.0609862012157,-1,2184.0609862012157,"[1388.3376774318235, 773.1799020495632]","[10, 3]"
14,0,1042.1192199300667,-1,1043.1192199300667,"[1356.863272204391, 773.1799020495632]","[11, 3]"
15,0,1466.3203107186023,-1,1467.3203107186023,"[1365.9846920805753, 773.1799020495632]","[12, 3]"
16,0,2349.6842512492854,-1,2350.6842512492854,"[1441.6538889397068, 773.1799020495632]","[13, 3]"
17,0,1182.5037783004568,-1,1183.5037783004568,"[1423.143166751189, 773.1799020495632]","[14, 3]"
18,0,666.1265668972636,-1,667.1265668972636,"[1372.675393427594, 773.1799020495632]","[15, 3]"
19,0,2668.3077195433384,-1,2669.3077195433384,"[1453.652413809828, 773.1799020495632]","[16, 3]"
20,0,3032.7692874371214,-1,3033.7692874371214,"[1546.541641670257, 773.1799020495632]","[17, 3]"
21,0,3607.6227280124476,-1,3608.6227280124476,"[1661.0461464670452, 773.1799020495632]","[18, 3]"
22,0,2167.29827819942,-1,2168.29827819942,"[1687.6909955055914, 773.1799020495632]","[19, 3]"
23,0,2660.6439832869696,-1,2661.6439832869696,"[1736.3386448946603, 773.1799020495632]","[20, 3]"
24,0,2918.449471934028,-1,2919.449471934028,"[1792.6296366584397, 773.1799020495632]","[21, 3]"
25,0,3600.178197833504,-1,3601.178197833504,"[1874.79093489367, 773.1799020495632]","[22, 3]"
26,0,3091.1177038663855,-1,3092.1177038663855,"[1927.674707457701, 773.1799020495632]","[23, 3]"
27,0,4667.171860637375,-1,4668.171860637375,"[2041.820422173521, 773.1799020495632]","[24, 3]"
28,0,3131.581626312308,-1,3132.581626312308,"[2085.4108703390725, 773.1799020495632]","[25, 3]"
29,0,3725.044803680782,-1,3726.044803680782,"[2148.4737139291383, 773.1799020495632]","[26, 3]"
